語幹	stem
基本形	plain form
未然形	imperfective form
意志形	volitional form
省略意志形	volitional short form
命令形	imperative form
基本推量形	plain tentative form
基本省略推量形	plain tentative short form
基本条件形	plain conditional form
基本連用形	plain continuative form
タ接連用形
タ形	ta-form
タ系推量形	type-ta tentative form
タ系省略推量形	type-ta tentative short form
タ系条件形	type-ta conditional form
タ系連用テ形	type-ta continuative te-form
タ系連用タリ形	type-ta continuative tari-form
タ系連用チャ形	type-ta continuative cha-form
タ系連用チャ形２	type-ta continuative cha-form 2
音便基本形
音便推量形
音便省略推量形
音便条件形
音便条件形２
文語基本形
文語未然形
文語連用形
文語連体形
文語条件形
文語音便条件形
文語命令形
(文語巳然形)
ダ列命令形
ダ列基本連体形
ダ列特殊連体形
ダ列基本推量形
ダ列基本省略推量形
ダ列基本条件形
ダ列基本連用形
ダ列タ形
ダ列タ系推量形
ダ列タ系省略推量形
ダ列タ系条件形
ダ列タ系連用テ形
ダ列タ系連用タリ形
ダ列タ系連用ジャ形
(ダ列文語未然形)
(ダ列文語連用形)
ダ列文語連体形
ダ列文語条件形
デアル列基本形
デアル列命令形
デアル列基本推量形
デアル列基本省略推量形
デアル列基本条件形
デアル列基本連用形
デアル列タ形
デアル列タ系推量形
デアル列タ系省略推量形
デアル列タ系条件形
デアル列タ系連用テ形
デアル列タ系連用タリ形
(デアル列文語未然形)
デス列基本形
デス列基本推量形
デス列基本省略推量形
デス列タ形
デス列タ系推量形
デス列タ系省略推量形
デス列タ系条件形
デス列タ系連用テ形
デス列タ系連用タリ形